,12,University of Florida,Gainesville,FL,"1,357",,12,University of Pennsylvania,Philadelphia,PA,"1,510",,12,Indiana University - Bloomington,Bloomington,IN,"1,605",,12,University of Pennsylvania,Philadelphia,PA,"1,815",,12,Pennsylvania State University - University Park,University Park,PA,"1,830",,12,University of Florida,Gainesville,FL,"2,039",,12,University of Florida,Gainesville,FL,"2,004",,12,University of Pennsylvania,Philadelphia,PA,"2,060",,12,University of Georgia,Athens,GA,"2,079",,12,University of Maryland - College Park,College Park,MD,"2,025",,12,University of Pennsylvania,Philadelphia,PA,"2,109",,12,Florida State University,Tallahassee,FL,"2,221",,12,Florida State University,Tallahassee,FL,"2,262",,12,Florida State University,Tallahassee,FL,"2,250",,12,University of Virginia - Charlottesville,Charlottesville,VA,"2,362",,12,Michigan State University,East Lansing,MI,"2,543",,"32,196","41,552","22,326","35,329","41,169","49,650","51,818","27,405","51,413","28,881",-,-,-,-,-,-,-,-,-,,12,Michigan State University,East Lansing,MI,"2,663",,"32,196","41,552","22,326","35,329","41,169","49,650","51,818","27,405","51,413","28,881",-,-,-,-,-,-,-,-,-,,Syracuse University,Syracuse,NY,"1,348"
,13,Penn State University - University Park,University Park,PA,"1,351",,13,Boston University,Boston,MA,"1,482",,13,University of Washington,Seattle,WA,"1,586",,13,University of Washington,Seattle,WA,"1,724",,13,Florida State University,Tallahassee,FL,"1,808",,13,University of Michigan - Ann Arbor,Ann Arbor,MI,"1,969",,13,University of Illinois - Urbana-Champaign,Champaign,IL,"1,999",,13,University of Florida,Gainesville,FL,"2,025",,13,University of Florida,Gainesville,FL,"2,075",,13,Texas A&M University - College Station,College Station,TX,"2,009",,13,University of California - Los Angeles,Los Angeles,CA,"2,048",,13,University of California - Los Angeles,Los Angeles,CA,"2,196",,13,University of Georgia,Athens,GA,"2,237",,13,University of Georgia,Athens,GA,"2,248",,13,University of Georgia,Athens,GA,"2,317",,13,University of Georgia,Athens,GA,"2,495",,"44,026","31,822","33,800","38,589","44,813","19,447","26,668","38,247","24,107","26,500",-,-,-,-,-,-,-,-,-,,13,Arizona State University - Tempe,Tempe,AZ,"2,651",,"44,026","31,822","33,800","38,589","44,813","19,447","26,668","38,247","24,107","26,500",-,-,-,-,-,-,-,-,-,,University of Delaware,Newark,DE,"1,295"
,14,University of Minnesota -Twin Cities,Minneapolis,MN,"1,294",,14,University of Illinois at Urbana - Champaign,Champaign,IL,"1,456",,14,Ohio State University - Columbus,Columbus,OH,"1,580",,14,University of Virginia - Charlottesville,Charlottesville,VA,"1,712",,14,University of Virginia - Charlottesville,Charlottesville,VA,"1,807",,14,University of Southern California,Los Angeles,CA,"1,931",,14,University of Arizona,Tucson,AZ,"1,972",,14,Brigham Young University,Provo,UT,"2,020",,14,Ohio State University - Columbus,Columbus,OH,"1,993",,14,George Washington University,Washington,D.C.,"2,002",,14,University of Washington,Seattle,WA,"2,044",,14,Boston University,Boston,MA,"2,142",,14,University of California - Los Angeles,Los Angeles,CA,"2,204",,14,University of Wisconsin - Madison,Madison,WI,"2,244",,14,University of Pennsylvania,Philadelphia,PA,"2,311",,14,University of Washington,Seattle,WA,"2,483",,"17,854","34,160","34,801","41,445","23,305","23,305","51,234","52,568","61,658","42,347",-,-,-,-,-,-,-,-,-,,14,Brigham Young University,Provo,UT,"2,560",,"17,854","34,160","34,801","41,445","23,305","23,305","51,234","52,568","61,658","42,347",-,-,-,-,-,-,-,-,-,,University of Colorado - Boulder,Boulder,CO,"1,286"
,15,Georgetown University,Washington,DC,"1,290",,15,University of Washington,Seattle,WA,"1,454",,15,Boston University,Boston,MA,"1,509",,15,University of Michigan - Ann Arbor,Ann Arbor,MI,"1,701",,15,University of Arizona,Tucson,AZ,"1,777",,15,University of Pennsylvania,Philadelphia,PA,"1,922",,15,Brigham Young University,Provo,UT,"1,957",,15,University of Georgia,Athens,GA,"1,994",,15,University of Maryland - College Park,College Park,MD,"1,975",,15,University of Florida,Gainesville,FL,"1,991",,15,University of Florida,Gainesville,FL,"2,036",,15,San Diego State University,San Diego,CA,"2,119",,15,University of Illinois - Urbana-Champaign,Champaign,IL,"2,193",,15,Arizona State University - Tempe,Tempe,AZ,"2,222",,15,University of California - Los Angeles,Los Angeles,CA,"2,302",,15,University of California - Los Angeles,Los Angeles,CA,"2,480",,"33,189","44,689","45,083","27,275","34,933","19,779","38,247","46,045","40,354","55,014",-,-,-,-,-,-,-,-,-,,15,University of Wisconsin - Madison,Madison,WI,"2,547",,"33,189","44,689","45,083","27,275","34,933","19,779","38,247","46,045","40,354","55,014",-,-,-,-,-,-,-,-,-,,University of Illinois - Urbana-Champaign,Champaign,IL,"1,276"
,16,Arizona State University - Tempe Campus,Tempe,AZ,"1,278",,16,Indiana University at Bloomington,Bloomington,IN,"1,443",,16,University of Arizona,Tucson,AZ,"1,462",,16,Brigham Young University,Provo,UT,"1,637",,16,University of Pennsylvania,Philadelphia,PA,"1,768",,16,Florida State University,Tallahassee,FL,"1,898",,16,University of Georgia,Athens,GA,"1,946",,16,University of Michigan - Ann Arbor,Ann Arbor,MI,"1,975",,16,University of Michigan - Ann Arbor,Ann Arbor,MI,"1,946",,15,University of Georgia,Athens,GA,"1,991",,16,University of Illinois - Urbana-Champaign,Champaign,IL,"2,027",,16,Indiana University - Bloomington,Bloomington,IN,"2,114",,16,University of Wisconsin - Madison,Madison,WI,"2,152",,16,University of Washington,Seattle,WA,"2,213",,16,University of Wisconsin - Madison,Madison,WI,"2,276",,16,University of Virginia - Charlottesville,Charlottesville,VA,"2,434",,"17,609","40,828","41,445","22,769","19,731","44,578","45,520","50,692","48,039","51,659",-,-,-,-,-,-,-,-,-,,16,University of Southern California,Los Angeles,CA,"2,509",,"17,609","40,828","41,445","22,769","19,731","44,578","45,520","50,692","48,039","51,659",-,-,-,-,-,-,-,-,-,,University of South Carolina - Columbia,Columbia,SC,"1,253"
,17,University of Pennsylvania,Philadelphia,PA,"1,228",,17,University of Virginia - Charlottesville,Charlottesville,VA,"1,427",,17,University of Delaware,Newark,DE,"1,461",,17,University of Wisconsin - Madison,Madison,WI,"1,616",,17,Brigham Young University,Provo,UT,"1,756",,17,Boston University,Boston,MA,"1,883",,17,Miami University,Oxford,OH,"1,932",,17,University of Maryland - College Park,College Park,MD,"1,958",,17,Boston University,Boston,MA,"1,928",,17,University of Illinois - Urbana-Champaign,Champaign,IL,"1,985",,17,University of Georgia,Athens,GA,"2,014",,17,University of Florida,Gainesville,FL,"2,104",,17,Northeastern University - Boston,Boston,MA,"2,149",,17,University of North Carolina - Chapel Hill,Chapel Hill,NC,"2,124",,17,University of North Carolina - Chapel Hill,Chapel Hill,NC,"2,244",,17,University of North Carolina - Chapel Hill,Chapel Hill,NC,"2,416",,"45,361","40,929","26,168","41,507","37,821","37,958","50,953","46,542","27,228","48,885",-,-,-,-,-,-,-,-,-,,17,University of California - Los Angeles,Los Angeles,CA,"2,499",,"45,361","40,929","26,168","41,507","37,821","37,958","50,953","46,542","27,228","48,885",-,-,-,-,-,-,-,-,-,,Cornell University,Ithaca,NY,"1,220"
,18,Ohio State University - Columbus,Columbus,OH,"1,227",,18,Arizona State University,Tempe,AZ,"1,409",,18,Miami University - Oxford,Oxford,OH,"1,434",,18,Indiana University - Bloomington,Bloomington,IN,"1,613",,18,Boston University,Boston,MA,"1,707",,18,University of Arizona,Tucson,AZ,"1,846",,18,University of Pennsylvania,Philadelphia,PA,"1,854",,18,Ohio State University - Columbus,Columbus,OH,"1,945",,18,University of Illinois - Urbana-Champaign,Champaign,IL,"1,907",,18,University of Washington,Seattle,WA,"1,949",,18,Florida State University,Tallahassee,FL,"1,997",,18,University of Washington,Seattle,WA,"2,063",,18,Arizona State University - Tempe,Tempe,AZ,"2,102",,18,Pennsylvania State University - University Park,University Park,PA,"2,048",,18,Pennsylvania State University - University Park,University Park,PA,"2,220",,18,University of Wisconsin - Madison,Madison,WI,"2,410",,"40,571","18,308","47,241","19,690","48,876","35,369","40,654","51,481","67,082","44,406",-,-,-,-,-,-,-,-,-,,18,University of North Carolina - Chapel Hill,Chapel Hill,NC,"2,479",,"40,571","18,308","47,241","19,690","48,876","35,369","40,654","51,481","67,082","44,406",-,-,-,-,-,-,-,-,-,,Pennsylvania State University - University Park,University Park,PA,"1,189"
,19,Miami University - Oxford,Oxford,OH,"1,208",,19,Ohio State University - Columbus,Columbus,OH,"1,399",,19,University of North Carolina - Chapel Hill,Chapel Hill,NC,"1,381",,19,University of Arizona,Tucson,AZ,"1,611",,19,Indiana University - Bloomington,Bloomington,IN,"1,686",,19,University of Virginia - Charlottesville,Charlottesville,VA,"1,816",,19,Boston University,Boston,MA,"1,852",,19,University of Illinois - Urbana-Champaign,Champaign,IL,"1,939",,19,Miami University,Oxford,OH,"1,899",,19,Penn State University - University Park,University Park,PA,"1,926",,19,University of Maryland - College Park,College Park,MD,"1,952",,19,Miami University - Oxford,Oxford,OH,"2,016",,19,University of North Carolina - Chapel Hill,Chapel Hill,NC,"2,068",,19,University of Florida,Gainesville,FL,"2,038",,19,Purdue University - West Lafayette,West Lafayette,IN,"2,149",,19,Brigham Young University,Provo,UT,"2,403",,"37,076","33,007","38,175","33,401","34,912","35,096","41,466","19,800","42,030","24,474",-,-,-,-,-,-,-,-,-,,19,University of Florida,Gainesville,FL,"2,476",,"37,076","33,007","38,175","33,401","34,912","35,096","41,466","19,800","42,030","24,474",-,-,-,-,-,-,-,-,-,,Boston University,Boston,MA,"1,164"
,20,University of Southern California,Los Angeles,OH,"1,207",,20,Brigham Young University,Provo,UT,"1,335",,20,Arizona State University,Tempe,AZ,"1,365",,20,University of Delaware,Newark,DE,"1,573",,20,University of Southern California,Los Angeles,CA,"1,680",,20,Ohio State University - Columbus,Columbus,OH,"1,704",,20,Ohio State University - Columbus,Columbus,OH,"1,758",,20,Boston University,Boston,MA,"1,924",,20,Brigham Young University,Provo,UT,"1,883",,20,Florida State University,Tallahassee,FL,"1,919",,20,George Washington University,Washington,D.C.,"1,885",,20,Penn State University - University Park,University Park,PA,"1,971",,20,University of Washington,Seattle,WA,"2,056",,20,University of Illinois - Urbana-Champaign,Champaign,IL,"2,018",,19,Brigham Young University,Provo,UT,"2,149",,20,Pennsylvania State University - University Park,University Park,PA,"2,320",,"20,923","47,597","38,903","34,699","44,452","51,175","15,703","42,043","51,140","68,064",-,-,-,-,-,-,-,-,-,,20,University of Virginia - Charlottesville,Charlottesville,VA,"2,431",,"20,923","47,597","38,903","34,699","44,452","51,175","15,703","42,043","51,140","68,064",-,-,-,-,-,-,-,-,-,,University of Southern California,Los Angeles,CA,"1,154"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Texas A&M University - College Station,College Station,TX,"1,856",,21,Brigham Young University,Provo,UT,"1,808",,21,Arizona State University,Tempe,AZ,"1,826",,21,Northeastern University,Boston,MA,"1,965",,21,Boston University,Boston,MA,"2,049",,21,University of Pennsylvania,Philadelphia,PA,"2,005",,21,University of Florida,Gainesville,FL,"2,123",,21,University of Southern California,Los Angeles,CA,"2,275",,"37,882","45,693","19,536","49,474","50,594","41,480","19,639","15,856","19,800","41,644",-,-,-,-,-,-,-,-,-,,21,University of Washington,Seattle,WA,"2,402",,"37,882","45,693","19,536","49,474","50,594","41,480","19,639","15,856","19,800","41,644",-,-,-,-,-,-,-,-,-,,University of Virginia - Charlottesville,Charlottesville,VA,"1,130"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,George Washington University,Washington,DC,"1,802",,22,Northeastern University,Boston,MA,"1,802",,22,San Diego State University,San Diego,CA,"1,812",,22,University of North Carolina - Chapel Hill,Chapel Hill,NC,"1,859",,22,Miami University - Oxford,Oxford,OH,"2,046",,22,Brigham Young University,Provo,UT,"1,998",,22,University of Washington,Seattle,WA,"2,083",,22,Purdue University - West Lafayette,West Lafayette,IN,"2,235",,,,,,,,,,,,,,,,,,,,,,22,University of Pennsylvania,Philadelphia,PA,"2,376",,,,,,,,,,,,,,,,,,,,,,University of Texas - Austin,Austin,TX,"1,129"
