,9,Indiana University - Bloomington,Bloomington,IN,"1,379",,9,University of Georgia,Athens,GA,"1,595",,9,University of Georgia,Athens,GA,"1,731",,9,University of Georgia,Athens,GA,"1,916",,9,University of Washington,Seattle,WA,"1,970",,9,University of Illinois - Urbana-Champaign,Champaign,IL,"2,086",,9,Penn State University - University Park,University Park,PA,"2,181",,9,University of Minnesota - Twin Cities,Minneapolis,MN,"2,181",,9,University of Wisconsin - Madison,Madison,WI,"2,159",,9,University of Southern California,Los Angeles,CA,"2,065",,9,University of Wisconsin - Madison,Madison,WI,"2,157",,9,University of Illinois - Urbana-Champaign,Champaign,IL,"2,422",,9,San Diego State University,San Diego,CA,"2,422",,9,University of Minnesota - Twin Cities,Minneapolis,MN,"2,490",,9,University of Minnesota - Twin Cities,Minneapolis,MN,"2,576",,9,Arizona State University - Tempe,Tempe,AZ,"2,567",,9,Florida State University,Tallahassee,FL,"2,723",,Elon University,Elon,NC,"1,445"
,10,University of Illinois - Urbana-Champaign,Urbana,IL,"1,377",,10,University of Arizona,Tucson,AZ,"1,591",,10,University of Virginia - Charlottesville,Charlottesville,VA,"1,684",,10,Florida State University,Tallahassee,FL,"1,826",,10,University of Wisconsin - Madison,Madison,WI,"1,846",,10,University of Georgia,Athens,GA,"2,058",,10,University of Michigan - Ann Arbor,Ann Arbor,MI,"2,116",,10,University of Wisconsin - Madison,Madison,WI,"2,169",,10,University of Washington,Seattle,WA,"2,152",,10,University of Michigan - Ann Arbor,Ann Arbor,MI,"2,060",,10,Indiana University - Bloomington,Bloomington,IN,"2,153",,10,University of Wisconsin - Madison,Madison,WI,"2,276",,10,Indiana University - Bloomington,Bloomington,IN,"2,395",,10,Michigan State University,East Lansing,MI,"2,391",,10,Arizona State University - Tempe,Tempe,AZ,"2,414",,10,University of Florida,Gainesville,FL,"2,561",,10,Pennsylvania State University - University Park,University Park,PA,"2,672",,University of Pennsylvania,Philadelphia,PA,"1,434"
,11,Boston University,Boston,MA,"1,369",,11,University of Florida,Gainesville,FL,"1,537",,11,University of Wisconsin - Madison,Madison,WI,"1,611",,11,University of Pennsylvania,Philadelphia,PA,"1,815",,11,University of California - Los Angeles,Los Angeles,CA,"1,831",,11,Indiana University - Bloomington,Bloomington,IN,"2,052",,11,Indiana University - Bloomington,Bloomington,IN,"2,028",,11,University of Arizona,Tucson,AZ,"2,064",,11,Penn State University - University Park,University Park,PA,"2,087",,11,Boston University,Boston,MA,"2,036",,11,Boston University,Boston,MA,"2,134",,11,University of Georgia,Athens,GA,"2,240",,11,University of Florida,Gainesville,FL,"2,286",,11,University of California - Los Angeles,Los Angeles,CA,"2,368",,11,Florida State University,Tallahassee,FL,"2,379",,11,Florida State University,Tallahassee,FL,"2,544",,11,University of Minnesota - Twin Cities,Minneapolis,MN,"2,669",,University of Maryland - College Park,College Park,MD,"1,405"
,12,University of Florida,Gainesville,FL,"1,357",,12,University of Pennsylvania,Philadelphia,PA,"1,510",,12,Indiana University - Bloomington,Bloomington,IN,"1,605",,12,University of Washington,Seattle,WA,"1,724",,12,Pennsylvania State University - University Park,University Park,PA,"1,830",,12,University of Florida,Gainesville,FL,"2,039",,12,University of Florida,Gainesville,FL,"2,004",,12,University of Pennsylvania,Philadelphia,PA,"2,060",,12,University of Georgia,Athens,GA,"2,079",,12,University of Maryland - College Park,College Park,MD,"2,025",,12,University of Pennsylvania,Philadelphia,PA,"2,109",,12,Florida State University,Tallahassee,FL,"2,221",,12,Florida State University,Tallahassee,FL,"2,262",,12,Florida State University,Tallahassee,FL,"2,250",,12,University of Virginia - Charlottesville,Charlottesville,VA,"2,362",,12,Michigan State University,East Lansing,MI,"2,543",,12,Michigan State University,East Lansing,MI,"2,663",,Syracuse University,Syracuse,NY,"1,348"
,13,Penn State University - University Park,University Park,PA,"1,351",,13,Boston University,Boston,MA,"1,482",,13,University of Washington,Seattle,WA,"1,586",,13,University of Virginia - Charlottesville,Charlottesville,VA,"1,712",,13,Florida State University,Tallahassee,FL,"1,808",,13,University of Michigan - Ann Arbor,Ann Arbor,MI,"1,969",,13,University of Illinois - Urbana-Champaign,Champaign,IL,"1,999",,13,University of Florida,Gainesville,FL,"2,025",,13,University of Florida,Gainesville,FL,"2,075",,13,Texas A&M University,College Station,TX,"2,009",,13,University of California - Los Angeles,Los Angeles,CA,"2,048",,13,University of California - Los Angeles,Los Angeles,CA,"2,196",,13,University of Georgia,Athens,GA,"2,237",,13,University of Georgia,Athens,GA,"2,248",,13,University of Georgia,Athens,GA,"2,317",,13,University of Georgia,Athens,GA,"2,495",,13,Arizona State University - Tempe,Tempe,AZ,"2,651",,University of Delaware,Newark,DE,"1,295"
,14,University of Minnesota - Twin Cities,Minneapolis,MN,"1,294",,14,University of Illinois - Urbana-Champaign,Champaign,IL,"1,456",,14,The Ohio State University - Columbus,Columbus,OH,"1,580",,14,University of Michigan - Ann Arbor,Ann Arbor,MI,"1,701",,14,University of Virginia - Charlottesville,Charlottesville,VA,"1,807",,14,University of Southern California,Los Angeles,CA,"1,931",,14,University of Arizona,Tucson,AZ,"1,972",,14,Brigham Young University,Provo,UT,"2,020",,14,Ohio State University - Columbus,Columbus,OH,"1,993",,14,George Washington University,Washington,D.C.,"2,002",,14,University of Washington,Seattle,WA,"2,044",,14,Boston University,Boston,MA,"2,142",,14,University of California - Los Angeles,Los Angeles,CA,"2,204",,14,University of Wisconsin - Madison,Madison,WI,"2,244",,14,University of Pennsylvania,Philadelphia,PA,"2,311",,14,University of Washington,Seattle,WA,"2,483",,14,Brigham Young University,Provo,UT,"2,560",,University of Colorado - Boulder,Boulder,CO,"1,286"
,15,Georgetown University,Washington,DC,"1,290",,15,University of Washington,Seattle,WA,"1,454",,15,Boston University,Boston,MA,"1,509",,15,Brigham Young University,Provo,UT,"1,637",,15,University of Arizona,Tucson,AZ,"1,777",,15,University of Pennsylvania,Philadelphia,PA,"1,922",,15,Brigham Young University,Provo,UT,"1,957",,15,University of Georgia,Athens,GA,"1,994",,15,University of Maryland - College Park,College Park,MD,"1,975",,15,University of Florida,Gainesville,FL,"1,991",,15,University of Florida,Gainesville,FL,"2,036",,15,San Diego State University,San Diego,CA,"2,119",,15,University of Illinois - Urbana-Champaign,Champaign,IL,"2,193",,15,Arizona State University - Tempe,Tempe,AZ,"2,222",,15,University of California - Los Angeles,Los Angeles,CA,"2,302",,15,University of California - Los Angeles,Los Angeles,CA,"2,480",,15,University of Wisconsin - Madison,Madison,WI,"2,547",,University of Illinois - Urbana-Champaign,Champaign,IL,"1,276"
,16,Arizona State University - Tempe Campus,Tempe,AZ,"1,278",,16,Indiana University - Bloomington,Bloomington,IN,"1,443",,16,University of Arizona,Tucson,AZ,"1,462",,16,University of Wisconsin - Madison,Madison,WI,"1,616",,16,University of Pennsylvania,Philadelphia,PA,"1,768",,16,Florida State University,Tallahassee,FL,"1,898",,16,University of Georgia,Athens,GA,"1,946",,16,University of Michigan - Ann Arbor,Ann Arbor,MI,"1,975",,16,University of Michigan - Ann Arbor,Ann Arbor,MI,"1,946",,15,University of Georgia,Athens,GA,"1,991",,16,University of Illinois - Urbana-Champaign,Champaign,IL,"2,027",,16,Indiana University - Bloomington,Bloomington,IN,"2,114",,16,University of Wisconsin - Madison,Madison,WI,"2,152",,16,University of Washington,Seattle,WA,"2,213",,16,University of Wisconsin - Madison,Madison,WI,"2,276",,16,University of Virginia - Charlottesville,Charlottesville,VA,"2,434",,16,University of Southern California,Los Angeles,CA,"2,509",,University of South Carolina - Columbia,Columbia,SC,"1,253"
,17,University of Pennsylvania,Philadelphia,PA,"1,228",,17,University of Virginia - Charlottesville,Charlottesville,VA,"1,427",,17,University of Delaware,Newark,DE,"1,461",,17,Indiana University - Bloomington,Bloomington,IN,"1,613",,17,Brigham Young University,Provo,UT,"1,756",,17,Boston University,Boston,MA,"1,883",,17,Miami University,Oxford,OH,"1,932",,17,University of Maryland - College Park,College Park,MD,"1,958",,17,Boston University,Boston,MA,"1,928",,17,University of Illinois - Urbana-Champaign,Champaign,IL,"1,985",,17,University of Georgia,Athens,GA,"2,014",,17,University of Florida,Gainesville,FL,"2,104",,17,Northeastern University - Boston,Boston,MA,"2,149",,17,University of North Carolina - Chapel Hill,Chapel Hill,NC,"2,124",,17,University of North Carolina - Chapel Hill,Chapel Hill,NC,"2,244",,17,University of North Carolina - Chapel Hill,Chapel Hill,NC,"2,416",,17,University of California - Los Angeles,Los Angeles,CA,"2,499",,Cornell University,Ithaca,NY,"1,220"
,18,The Ohio State University - Columbus,Columbus,OH,"1,227",,18,Arizona State University,Tempe,AZ,"1,409",,18,Miami University - Oxford,Oxford,OH,"1,434",,18,University of Arizona,Tucson,AZ,"1,611",,18,Boston University,Boston,MA,"1,707",,18,University of Arizona,Tucson,AZ,"1,846",,18,University of Pennsylvania,Philadelphia,PA,"1,857",,18,Ohio State University - Columbus,Columbus,OH,"1,945",,18,University of Illinois - Urbana-Champaign,Champaign,IL,"1,907",,18,University of Washington,Seattle,WA,"1,949",,18,Florida State University,Tallahassee,FL,"1,997",,18,University of Washington,Seattle,WA,"2,063",,18,Arizona State University - Tempe,Tempe,AZ,"2,102",,18,Pennsylvania State University - University Park,University Park,PA,"2,048",,18,Pennsylvania State University - University Park,University Park,PA,"2,220",,18,University of Wisconsin - Madison,Madison,WI,"2,410",,18,University of North Carolina - Chapel Hill,Chapel Hill,NC,"2,479",,Pennsylvania State University - University Park,University Park,PA,"1,189"
,19,Miami University - Oxford,Oxford,OH,"1,208",,19,The Ohio State University - Columbus,Columbus,OH,"1,399",,19,University of North Carolina - Chapel Hill,Chapel Hill,NC,"1,381",,19,University of Delaware,Newark,DE,"1,573",,19,Indiana University - Bloomington,Bloomington,IN,"1,686",,19,University of Virginia - Charlottesville,Charlottesville,VA,"1,816",,19,Boston University,Boston,MA,"1,852",,19,University of Illinois - Urbana-Champaign,Champaign,IL,"1,939",,19,Miami University,Oxford,OH,"1,899",,19,The Pennsylvania State University - University Park,University Park,PA,"1,926",,19,University of Maryland - College Park,College Park,MD,"1,952",,19,Miami University - Oxford,Oxford,OH,"2,016",,19,University of North Carolina - Chapel Hill,Chapel Hill,NC,"2,068",,19,University of Florida,Gainesville,FL,"2,038",,19,Purdue University - West Lafayette,West Lafayette,IN,"2,149",,19,Brigham Young University,Provo,UT,"2,403",,19,University of Florida,Gainesville,FL,"2,476",,Boston University,Boston,MA,"1,164"
,20,University of Southern California,Los Angeles,CA,"1,207",,20,Brigham Young University,Provo,UT,"1,335",,20,Arizona State University,Tempe,AZ,"1,365",,20,Boston University,Boston,MA,"1,518",,20,University of Southern California,Los Angeles,CA,"1,680",,20,Ohio State University - Columbus,Columbus,OH,"1,704",,20,Ohio State University - Columbus,Columbus,OH,"1,758",,20,Boston University,Boston,MA,"1,924",,20,Brigham Young University,Provo,UT,"1,883",,20,Florida State University,Tallahassee,FL,"1,919",,20,George Washington University,Washington,D.C.,"1,885",,20,Penn State University - University Park,University Park,PA,"1,971",,20,University of Washington,Seattle,WA,"2,056",,20,University of Illinois - Urbana-Champaign,Champaign,IL,"2,018",,19,Brigham Young University,Provo,UT,"2,149",,20,Pennsylvania State University - University Park,University Park,PA,"2,320",,20,University of Virginia - Charlottesville,Charlottesville,VA,"2,431",,University of Southern California,Los Angeles,CA,"1,154"
,,,,,,,,,,,,,,,,,,,21,Arizona State University,Tempe,AZ,"1,491",,21,San Diego State University,San Diego,CA,"1,624",,21,University of Delaware,Newark,DE,"1,700",,21,University of Maryland - College Park,College Park,MD,"1,740",,21,Texas A&M University,College Station,TX,"1,844",,21,Texas A&M University,College Station,TX,"1,856",,21,Brigham Young University,Provo,UT,"1,808",,21,Arizona State University,Tempe,AZ,"1,826",,21,Northeastern University,Boston,MA,"1,965",,21,Boston University,Boston,MA,"2,049",,21,University of Pennsylvania,Philadelphia,PA,"2,005",,21,University of Florida,Gainesville,FL,"2,123",,21,University of Southern California,Los Angeles,CA,"2,275",,21,University of Washington,Seattle,WA,"2,402",,University of Virginia - Charlottesville,Charlottesville,VA,"1,130"
,"*As Open Doors uses the Carnegie system for its institutional-level analyses and rankings, comparisons within institutional categories from previous Open Doors reports are not always possible.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Texas - Austin,Austin,TX,"1,129"
,"Historically, Open Doors has used the following codes:",,,,,,,,,,,,,,,,,,23,San Diego State University,San Diego,CA,"1,440",,23,University of North Carolina - Chapel Hill,Chapel Hill,NC,"1,557",,23,Syracuse University,Syracuse,NY,"1,625",,23,Georgetown University,Washington,DC,"1,653",,23,Miami University,Oxford,OH,"1,832",,23,Florida State University,Tallahassee,FL,"1,693",,23,Miami University,Oxford,OH,"1,797",,23,The Pennsylvania State University - University Park,University Park,PA,"1,787",,23,University of Pennsylvania,Philadelphia,PA,"1,824",,23,University of Pennsylvania,Philadelphia,PA,"1,953",,23,Purdue University - West Lafayette,West Lafayette,IN,"1,993",,23,Northeastern University - Boston,Boston,MA,"1,963",,23,University of Pennsylvania,Philadelphia,PA,"2,234",,23,Purdue University - West Lafayette,West Lafayette,IN,"2,264",,University of San Diego,San Diego,CA,"1,118"
,2018 Carnegie Classification:  Open Doors 2019 through 2021,,,,,,,,,,,,,,,,,,24,Miami University - Oxford Campus,Oxford,OH,"1,422",,24,University of Delaware,Newark,DE,"1,509",,24,Miami University,Oxford,OH,"1,616",,24,University of Virginia - Charlottesville,Charlottesville,VA,"1,637",,24,Northeastern University,Boston,MA,"1,685",,24,Northeastern University,Boston,MA,"1,643",,24,Cornell University,Ithaca,NY,"1,773",,24,Northeastern University,Boston,MA,"1,766",,24,University of Virginia - Charlottesville,Charlottesville,VA,"1,794",,24,Purdue University - West Lafayette,West Lafayette,IN,"1,917",,24,University of Virginia - Charlottesville,Charlottesville,VA,"1,992",,24,University of Illinois - Urbana-Champaign,Champaign,IL,"1,945",,24,University of South Carolina - Columbia,Columbia,SC,"2,020",,24,University of Illinois - Urbana-Champaign,Champaign,IL,"2,224",,George Washington University,Washington,DC,"1,089"
,2015 Carnegie Classification:  Open Doors 2016 through 2018,,,,,,,,,,,,,,,,,,25,University of North Carolina - Chapel Hill,Chapel Hill,NC,"1,410",,25,Ohio State University - Columbus,Columbus,OH,"1,501",,25,University of Maryland - College Park,College Park,MD,"1,615",,25,Florida State University,Tallahassee,FL,"1,513",,25,George Washington University,Washington,DC,"1,672",,25,Syracuse University,Syracuse,NY,"1,636",,25,Ohio State University - Columbus,Columbus,OH,"1,716",,25,Miami University,Oxford,OH,"1,687",,25,Arizona State University,Tempe,AZ,"1,793",,25,University of Virginia - Charlottesville,Charlottesville,VA,"1,915",,25,Miami University - Oxford,Oxford,OH,"1,981",,25,Cornell University,Ithaca,NY,"1,929",,25,Northeastern University - Boston,Boston,MA,"1,983",,25,University of Colorado - Boulder,Boulder,CO,"2,137",,Arizona State University - Tempe,Tempe,AZ,"1,084"
,2010 Carnegie Classification:  Open Doors 2010 through 2015,,,,,,,,,,,,,,,,,,26,University of Southern California,Los Angeles,CA,"1,399",,26,Arizona State University,Tempe,AZ,"1,487",,26,Arizona State University,Tempe,AZ,"1,528",,26,University of Delaware,Newark,DE,"1,495",,26,Georgetown University,Washington,DC,"1,607",,26,American University,Washington,DC,"1,599",,26,Arizona State University,Tempe,AZ,"1,669",,26,University of North Carolina - Chapel Hill,Chapel Hill,NC,"1,682",,26,University of Maryland - College Park,College Park,MD,"1,761",,26,Pennsylvania State University - University Park,University Park,PA,"1,889",,26,University of California - Berkeley,Berkeley,CA,"1,944",,26,Boston University,Boston,MA,"1,900",,26,University of Colorado - Boulder,Boulder,CO,"1,969",,26,University of California - Berkeley,Berkeley,CA,"2,077",,Miami University - Oxford,Oxford,OH,"1,047"
,2005 Carnegie Classification:  Open Doors 2008 through 2009,,,,,,,,,,,,,,,,,,27,University of Notre Dame,Notre Dame,IN,"1,361",,27,George Washington University,Washington,DC,"1,432",,27,University of North Carolina - Chapel Hill,Chapel Hill,NC,"1,511",,27,Syracuse University,Syracuse,NY,"1,474",,27,University of California - Davis,Davis,CA,"1,529",,26,University of Virginia - Charlottesville,Charlottesville,VA,"1,599",,27,Syracuse University,Syracuse,NY,"1,655",,27,American University,Washington,D.C.,"1,674",,27,George Washington University,Washington,DC,"1,735",,27,University of Maryland - College Park,College Park,MD,"1,879",,27,Boston University,Boston,MA,"1,924",,27,Miami University - Oxford,Oxford,OH,"1,889",,27,Miami University - Oxford,Oxford,OH,"1,958",,27,University of Maryland - College Park,College Park,MD,"2,011",,University of North Carolina - Chapel Hill,Chapel Hill,NC,"1,035"
,2000 Carnegie Classification:  Open Doors 2004 through 2007,,,,,,,,,,,,,,,,,,28,University of Kansas,Lawrence,KS,"1,346",,28,Georgetown University,Washington,DC,"1,392",,28,University of Kansas,Lawrence,KS,"1,451",,28,University of Kansas,Lawrence,KS,"1,468",,28,University of Virginia - Charlottesville,Charlottesville,VA,"1,482",,28,Arizona State University,Tempe,AZ,"1,574",,28,University of North Carolina - Chapel Hill,Chapel Hill,NC,"1,644",,28,University of Virginia - Charlottesville,Charlottesville,VA,"1,658",,28,Brigham Young University,Provo,UT,"1,632",,28,George Washington University,Washington,DC,"1,870",,28,Cornell University,Ithaca,NY,"1,876",,28,University of California - Berkeley,Berkeley,CA,"1,832",,28,University of Illinois - Urbana-Champaign,Champaign,IL,"1,931",,28,Northeastern University - Boston,Boston,MA,"1,955",,Michigan State University,East Lansing,MI,"1,018"
,,,,,,,,,,,,,,,,,,,29,University of Maryland College Park,College Park,MD,"1,270",,29,University of Maryland - College Park,College Park,MD,"1,366",,29,Georgetown University,Washington,DC,"1,434",,29,University of North Carolina - Chapel Hill,Chapel Hill,NC,"1,434",,29,University of Notre Dame,Notre Dame,IN,"1,472",,29,Georgetown University,Washington,DC,"1,562",,29,University of Virginia - Charlottesville,Charlottesville,VA,"1,623",,29,Brigham Young University,Provo,UT,"1,597",,29,Purdue University - West Lafayette,West Lafayette,IN,"1,604",,29,Brigham Young University,Provo,UT,"1,713",,29,University of Maryland - College Park,College Park,MD,"1,820",,29,University of Colorado - Boulder,Boulder,CO,"1,827",,29,Cornell University,Ithaca,NY,"1,917",,29,University of South Carolina - Columbia,Columbia,SC,"1,919",,University of Denver,Denver,CO,"1,008"
