2010/11,,,,,,2011/12,,,,,,2012/13,,,,,,2013/14,,,,,,2014/15,,,,,,2015/16,,,,,,2016/17,,,,,,2017/18,,,,,,2018/19,,,,,,2019/20,,,
Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Institutions,City,State,Total Study Abroad Students
1,Elon University,Elon College,NC,"1,170",,1,Elon University,Elon College,NC,"1,094",,1,Elon University,Elon,NC,"1,254",,1,Elon University,Elon,NC,"1,346",,1,Elon University,Elon,NC,"1,434",,1,Elon University,Elon,NC,"1,634",,1,Elon University,Elon,NC,"1,654",,1,James Madison University,Harrisonburg,VA,"1,322",,1,James Madison University,Harrisonburg,VA,"1,392",,California Polytechnic State University - San Luis Obispo,San Luis Obispo,CA,863
2,James Madison University,Harrisonburg,VA,"1,101",,2,James Madison University,Harrisonburg,VA,"1,071",,2,James Madison University,Harrisonburg,VA,"1,102",,2,Villanova University,Villanova,PA,"1,274",,2,James Madison University,Harrisonburg,VA,"1,161",,2,James Madison University,Harrisonburg,VA,"1,278",,2,James Madison University,Harrisonburg,VA,"1,284",,2,California Polytechnic State University - San Luis Obispo,San Luis Obispo,CA,"1,231",,2,California Polytechnic State University - San Luis Obispo,San Luis Obispo,CA,"1,216",,Marist College,Poughkeepsie,NY,581
3,Appalachian State University,Boone,NC,886,,3,Villanova University,Villanova,PA,911,,3,Arcadia University,Glenside,PA,964,,3,James Madison University,Harrisonburg,VA,"1,161",,3,Appalachian State University,Boone,NC,970,,3,College of Charleston,Charleston,SC,"1,022",,3,California Polytechnic State University - San Luis Obispo,San Luis Obispo,CA,"1,121",,3,California State University - Long Beach,Long Beach,CA,"1,064",,3,Appalachian State University,Boone,NC,940,,Loyola University Maryland,Baltimore,MD,444
4,Villanova University,Villanova,PA,866,,4,California Polytechnic State University - San Luis Obispo,San Luis Obispo,CA,858,,4,Appalachian State University,Boone,NC,942,,4,Appalachian State University,Boone,NC,"1,010",,4,College of Charleston,Charleston,SC,948,,4,California State University - Long Beach,Long Beach,CA,970,,4,California State University - Long Beach,Long Beach,CA,"1,088",,4,Appalachian State University,Boone,NC,909,,4,College of Charleston,Charleston,SC,935,,Providence College,Providence,RI,432
5,Arcadia University,Glenside,PA,808,,5,Grand Valley State University,Allendale,MI,825,,5,Villanova University,Villanova,PA,887,,5,Arcadia University,Glenside,PA,948,,5,Arcadia University,Glenside,PA,939,,5,Appalachian State University,Boone,NC,947,,5,University of North Carolina - Wilmington,Wilmington,NC,985,,5,College of Charleston,Charleston,SC,904,,5,California State University - Long Beach,Long Beach,CA,886,,Saint Mary's College of California,Moraga,CA,413
6,Loyola University Maryland,Baltimore,MD,757,,6,Appalachian State University,Boone,NC,809,,6,College of Charleston,Charleston,SC,781,,6,College of Charleston,Charleston,SC,930,,6,University of North Carolina - Wilmington,Wilmington,NC,897,,6,University of North Carolina - Wilmington,Wilmington,NC,944,,6,Appalachian State University,Boone,NC,972,,6,Arcadia University,Glenside,PA,859,,6,Grand Valley State University,Allendale,MI,752,,California State University - Long Beach,Long Beach,CA,409
7,Cal Poly - San Luis Obispo,San Luis Obispo,CA,738,,7,Kennesaw State University,Kennesaw,GA,787,,7,California Polytechnic State University - San Luis Obispo,San Luis Obispo,CA,769,,7,University of North Carolina - Wilmington,Wilmington,NC,822,,7,California State University - Long Beach,Long Beach,CA,829,,7,California Polytechnic State University - San Luis Obispo,San Luis Obispo,CA,929,,7,College of Charleston,Charleston,SC,942,,7,Grand Valley State University,Allendale,MI,720,,7,Arcadia University,Glenside,PA,717,,San Francisco State University,San Francisco,CA,409
8,Kennesaw State University,Kennesaw,GA,734,,8,Arcadia University,Glenside,PA,780,,8,Kennesaw State University,Kennesaw,GA,766,,8,California Polytechnic State University - San Luis Obispo,San Luis Obispo,CA,813,,8,California Polytechnic State University - San Luis Obispo,San Luis Obispo,CA,782,,8,Arcadia University,Glenside,PA,886,,8,Quinnipiac University,Hamden,CT,914,,8,SUNY Maritime College,Bronx,NY,713,,8,Lee University,Cleveland,TN,670,,Ithaca College,Ithaca,NY,388
9,California State University - Long Beach,Long Beach,CA,728,,9,University of North Carolina - Wilmington,Wilmington,NC,766,,9,University of North Carolina - Wilmington,Wilmington,NC,762,,9,California State University - Long Beach,Long Beach,CA,767,,9,Belmont University,Nashville,TN,678,,9,Grand Valley State University,Allendale,MI,842,,9,Belmont University,Nashville,TN,855,,9,Marist College,Poughkeepsie,NY,627,,9,Marist College,Poughkeepsie,NY,633,,Calvin University,Grand Rapids,MI,380
10,College of Charleston,Charleston,SC,664,,10,College of Charleston,Charleston,SC,717,,10,Grand Valley State University,Allendale,MI,721,,9,Kennesaw State University,Kennesaw,GA,767,,10,Grand Valley State University,Allendale,MI,658,,10,Chapman University,Orange,CA,768,,10,Arcadia University,Glenside,PA,836,,10,California State University - Fullerton,Fullerton,CA,626,,10,Loyola University Maryland,Baltimore,MD,604,,Bentley University,Waltham,MA,354
