2010/11,,,,,,2011/12,,,,,,2012/13,,,,,,2013/14,,,,,,2014/15,,,,,,2015/16,,,,,,2016/17,,,,,,2017/18,,,,,,Total Enrollment,,,,,,,,,,,,,,,,,,,,2018/19,,,,,,Total Enrollment,,,,,,,,,,,,,,,,,,,,2019/20,,,
Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,,Rank,Institutions,City,State,Study Abroad Students,,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,,Institutions,City,State,Study Abroad Students
11,Penn State University - University Park,University Park,PA,"2,087",,11,Boston University,Boston,MA,"2,036",,11,Boston University,Boston,MA,"2,134",,11,University of Georgia,Athens,GA,"2,240",,11,University of Florida,Gainesville,FL,"2,286",,11,University of California - Los Angeles,Los Angeles,CA,"2,368",,11,Florida State University,Tallahassee,FL,"2,379",,11,Florida State University,Tallahassee,FL,"2,544",,"36,936","21,853","35,912","44,813","27,276","37,221","23,704","23,980","20,307","50,691",-,-,-,-,-,-,-,-,-,,11,University of Minnesota - Twin Cities,Minneapolis,MN,"2,669",,"36,936","21,853","35,912","44,813","27,276","37,221","23,704","23,980","20,307","50,691",-,-,-,-,-,-,-,-,-,,University of Maryland - College Park,College Park,MD,"1,405"
12,University of Georgia,Athens,GA,"2,079",,12,University of Maryland - College Park,College Park,MD,"2,025",,12,University of Pennsylvania,Philadelphia,PA,"2,109",,12,Florida State University,Tallahassee,FL,"2,221",,12,Florida State University,Tallahassee,FL,"2,262",,12,Florida State University,Tallahassee,FL,"2,250",,12,University of Virginia - Charlottesville,Charlottesville,VA,"2,362",,12,Michigan State University,East Lansing,MI,"2,543",,"32,196","41,552","22,326","35,329","41,169","49,650","51,818","27,405","51,413","28,881",-,-,-,-,-,-,-,-,-,,12,Michigan State University,East Lansing,MI,"2,663",,"32,196","41,552","22,326","35,329","41,169","49,650","51,818","27,405","51,413","28,881",-,-,-,-,-,-,-,-,-,,Syracuse University,Syracuse,NY,"1,348"
13,University of Florida,Gainesville,FL,"2,075",,13,Texas A&M University - College Station,College Station,TX,"2,009",,13,University of California - Los Angeles,Los Angeles,CA,"2,048",,13,University of California - Los Angeles,Los Angeles,CA,"2,196",,13,University of Georgia,Athens,GA,"2,237",,13,University of Georgia,Athens,GA,"2,248",,13,University of Georgia,Athens,GA,"2,317",,13,University of Georgia,Athens,GA,"2,495",,"44,026","31,822","33,800","38,589","44,813","19,447","26,668","38,247","24,107","26,500",-,-,-,-,-,-,-,-,-,,13,Arizona State University - Tempe,Tempe,AZ,"2,651",,"44,026","31,822","33,800","38,589","44,813","19,447","26,668","38,247","24,107","26,500",-,-,-,-,-,-,-,-,-,,University of Delaware,Newark,DE,"1,295"
14,Ohio State University - Columbus,Columbus,OH,"1,993",,14,George Washington University,Washington,D.C.,"2,002",,14,University of Washington,Seattle,WA,"2,044",,14,Boston University,Boston,MA,"2,142",,14,University of California - Los Angeles,Los Angeles,CA,"2,204",,14,University of Wisconsin - Madison,Madison,WI,"2,244",,14,University of Pennsylvania,Philadelphia,PA,"2,311",,14,University of Washington,Seattle,WA,"2,483",,"17,854","34,160","34,801","41,445","23,305","23,305","51,234","52,568","61,658","42,347",-,-,-,-,-,-,-,-,-,,14,Brigham Young University,Provo,UT,"2,560",,"17,854","34,160","34,801","41,445","23,305","23,305","51,234","52,568","61,658","42,347",-,-,-,-,-,-,-,-,-,,University of Colorado - Boulder,Boulder,CO,"1,286"
15,University of Maryland - College Park,College Park,MD,"1,975",,15,University of Florida,Gainesville,FL,"1,991",,15,University of Florida,Gainesville,FL,"2,036",,15,San Diego State University,San Diego,CA,"2,119",,15,University of Illinois - Urbana-Champaign,Champaign,IL,"2,193",,15,Arizona State University - Tempe,Tempe,AZ,"2,222",,15,University of California - Los Angeles,Los Angeles,CA,"2,302",,15,University of California - Los Angeles,Los Angeles,CA,"2,480",,"33,189","44,689","45,083","27,275","34,933","19,779","38,247","46,045","40,354","55,014",-,-,-,-,-,-,-,-,-,,15,University of Wisconsin - Madison,Madison,WI,"2,547",,"33,189","44,689","45,083","27,275","34,933","19,779","38,247","46,045","40,354","55,014",-,-,-,-,-,-,-,-,-,,University of Illinois - Urbana-Champaign,Champaign,IL,"1,276"
16,University of Michigan - Ann Arbor,Ann Arbor,MI,"1,946",,15,University of Georgia,Athens,GA,"1,991",,16,University of Illinois - Urbana-Champaign,Champaign,IL,"2,027",,16,Indiana University - Bloomington,Bloomington,IN,"2,114",,16,University of Wisconsin - Madison,Madison,WI,"2,152",,16,University of Washington,Seattle,WA,"2,213",,16,University of Wisconsin - Madison,Madison,WI,"2,276",,16,University of Virginia - Charlottesville,Charlottesville,VA,"2,434",,"17,609","40,828","41,445","22,769","19,731","44,578","45,520","50,692","48,039","51,659",-,-,-,-,-,-,-,-,-,,16,University of Southern California,Los Angeles,CA,"2,509",,"17,609","40,828","41,445","22,769","19,731","44,578","45,520","50,692","48,039","51,659",-,-,-,-,-,-,-,-,-,,University of South Carolina - Columbia,Columbia,SC,"1,253"
17,Boston University,Boston,MA,"1,928",,17,University of Illinois - Urbana-Champaign,Champaign,IL,"1,985",,17,University of Georgia,Athens,GA,"2,014",,17,University of Florida,Gainesville,FL,"2,104",,17,Northeastern University - Boston,Boston,MA,"2,149",,17,University of North Carolina - Chapel Hill,Chapel Hill,NC,"2,124",,17,University of North Carolina - Chapel Hill,Chapel Hill,NC,"2,244",,17,University of North Carolina - Chapel Hill,Chapel Hill,NC,"2,416",,"45,361","40,929","26,168","41,507","37,821","37,958","50,953","46,542","27,228","48,885",-,-,-,-,-,-,-,-,-,,17,University of California - Los Angeles,Los Angeles,CA,"2,499",,"45,361","40,929","26,168","41,507","37,821","37,958","50,953","46,542","27,228","48,885",-,-,-,-,-,-,-,-,-,,Cornell University,Ithaca,NY,"1,220"
18,University of Illinois - Urbana-Champaign,Champaign,IL,"1,907",,18,University of Washington,Seattle,WA,"1,949",,18,Florida State University,Tallahassee,FL,"1,997",,18,University of Washington,Seattle,WA,"2,063",,18,Arizona State University - Tempe,Tempe,AZ,"2,102",,18,Pennsylvania State University - University Park,University Park,PA,"2,048",,18,Pennsylvania State University - University Park,University Park,PA,"2,220",,18,University of Wisconsin - Madison,Madison,WI,"2,410",,"40,571","18,308","47,241","19,690","48,876","35,369","40,654","51,481","67,082","44,406",-,-,-,-,-,-,-,-,-,,18,University of North Carolina - Chapel Hill,Chapel Hill,NC,"2,479",,"40,571","18,308","47,241","19,690","48,876","35,369","40,654","51,481","67,082","44,406",-,-,-,-,-,-,-,-,-,,Pennsylvania State University - University Park,University Park,PA,"1,189"
19,Miami University,Oxford,OH,"1,899",,19,Penn State University - University Park,University Park,PA,"1,926",,19,University of Maryland - College Park,College Park,MD,"1,952",,19,Miami University - Oxford,Oxford,OH,"2,016",,19,University of North Carolina - Chapel Hill,Chapel Hill,NC,"2,068",,19,University of Florida,Gainesville,FL,"2,038",,19,Purdue University - West Lafayette,West Lafayette,IN,"2,149",,19,Brigham Young University,Provo,UT,"2,403",,"37,076","33,007","38,175","33,401","34,912","35,096","41,466","19,800","42,030","24,474",-,-,-,-,-,-,-,-,-,,19,University of Florida,Gainesville,FL,"2,476",,"37,076","33,007","38,175","33,401","34,912","35,096","41,466","19,800","42,030","24,474",-,-,-,-,-,-,-,-,-,,Boston University,Boston,MA,"1,164"
20,Brigham Young University,Provo,UT,"1,883",,20,Florida State University,Tallahassee,FL,"1,919",,20,George Washington University,Washington,D.C.,"1,885",,20,Penn State University - University Park,University Park,PA,"1,971",,20,University of Washington,Seattle,WA,"2,056",,20,University of Illinois - Urbana-Champaign,Champaign,IL,"2,018",,19,Brigham Young University,Provo,UT,"2,149",,20,Pennsylvania State University - University Park,University Park,PA,"2,320",,"20,923","47,597","38,903","34,699","44,452","51,175","15,703","42,043","51,140","68,064",-,-,-,-,-,-,-,-,-,,20,University of Virginia - Charlottesville,Charlottesville,VA,"2,431",,"20,923","47,597","38,903","34,699","44,452","51,175","15,703","42,043","51,140","68,064",-,-,-,-,-,-,-,-,-,,University of Southern California,Los Angeles,CA,"1,154"
21,Texas A&M University - College Station,College Station,TX,"1,856",,21,Brigham Young University,Provo,UT,"1,808",,21,Arizona State University,Tempe,AZ,"1,826",,21,Northeastern University,Boston,MA,"1,965",,21,Boston University,Boston,MA,"2,049",,21,University of Pennsylvania,Philadelphia,PA,"2,005",,21,University of Florida,Gainesville,FL,"2,123",,21,University of Southern California,Los Angeles,CA,"2,275",,"37,882","45,693","19,536","49,474","50,594","41,480","19,639","15,856","19,800","41,644",-,-,-,-,-,-,-,-,-,,21,University of Washington,Seattle,WA,"2,402",,"37,882","45,693","19,536","49,474","50,594","41,480","19,639","15,856","19,800","41,644",-,-,-,-,-,-,-,-,-,,University of Virginia - Charlottesville,Charlottesville,VA,"1,130"
22,George Washington University,Washington,DC,"1,802",,22,Northeastern University,Boston,MA,"1,802",,22,San Diego State University,San Diego,CA,"1,812",,22,University of North Carolina - Chapel Hill,Chapel Hill,NC,"1,859",,22,Miami University - Oxford,Oxford,OH,"2,046",,22,Brigham Young University,Provo,UT,"1,998",,22,University of Washington,Seattle,WA,"2,083",,22,Purdue University - West Lafayette,West Lafayette,IN,"2,235",,,,,,,,,,,,,,,,,,,,,,22,University of Pennsylvania,Philadelphia,PA,"2,376",,,,,,,,,,,,,,,,,,,,,,University of Texas - Austin,Austin,TX,"1,129"
23,Florida State University,Tallahassee,FL,"1,693",,23,Miami University,Oxford,OH,"1,797",,23,Penn State University - University Park,University Park,PA,"1,787",,23,University of Pennsylvania,Philadelphia,PA,"1,824",,23,University of Pennsylvania,Philadelphia,PA,"1,953",,23,Purdue University - West Lafayette,West Lafayette,IN,"1,993",,23,Northeastern University - Boston,Boston,MA,"1,963",,23,University of Pennsylvania,Philadelphia,PA,"2,234",,"45,133","25,838","48,677","33,091","34,876","15,567","42,914","50,883","19,413","37,000",-,-,-,-,-,-,-,-,-,,23,Purdue University - West Lafayette,West Lafayette,IN,"2,264",,"45,133","25,838","48,677","33,091","34,876","15,567","42,914","50,883","19,413","37,000",-,-,-,-,-,-,-,-,-,,University of San Diego,San Diego,CA,"1,118"
24,Northeastern University,Boston,MA,"1,643",,24,Cornell University,Ithaca,NY,"1,773",,24,Northeastern University,Boston,MA,"1,766",,24,University of Virginia - Charlottesville,Charlottesville,VA,"1,794",,24,Purdue University - West Lafayette,West Lafayette,IN,"1,917",,24,University of Virginia - Charlottesville,Charlottesville,VA,"1,992",,24,University of Illinois - Urbana-Champaign,Champaign,IL,"1,945",,24,University of South Carolina - Columbia,Columbia,SC,"2,020",,"19,021","31,040","47,359","48,673","19,518","41,289","35,102","18,742","36,127","20,291",-,-,-,-,-,-,-,-,-,,24,University of Illinois - Urbana-Champaign,Champaign,IL,"2,224",,"19,021","31,040","47,359","48,673","19,518","41,289","35,102","18,742","36,127","20,291",-,-,-,-,-,-,-,-,-,,George Washington University,Washington,DC,"1,089"
25,Syracuse University,Syracuse,NY,"1,636",,25,Ohio State University - Columbus,Columbus,OH,"1,716",,25,Miami University - Oxford,Oxford,OH,"1,687",,25,Arizona State University,Tempe,AZ,"1,793",,25,University of Virginia - Charlottesville,Charlottesville,VA,"1,915",,25,Miami University - Oxford,Oxford,OH,"1,981",,25,Cornell University,Ithaca,NY,"1,929",,25,Northeastern University - Boston,Boston,MA,"1,983",,"32,123","22,793","31,040","48,901","36,932","37,036","33,137","34,663","44,112","17,833",-,-,-,-,-,-,-,-,-,,25,University of Colorado - Boulder,Boulder,CO,"2,137",,"32,123","22,793","31,040","48,901","36,932","37,036","33,137","34,663","44,112","17,833",-,-,-,-,-,-,-,-,-,,Arizona State University - Tempe,Tempe,AZ,"1,084"
