2010/11,,,,,,2011/12,,,,,,2012/13,,,,,,2013/14,,,,,,2014/15,,,,,,2015/16,,,,,,2016/17,,,,,,2017/18,,,,,,2018/19,,,,,,2019/20,,,
Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Institutions,City,State,Total Study Abroad Students
11,Penn State University - University Park,University Park,PA,"2,087",,11,Boston University,Boston,MA,"2,036",,11,Boston University,Boston,MA,"2,134",,11,University of Georgia,Athens,GA,"2,240",,11,University of Florida,Gainesville,FL,"2,286",,11,University of California - Los Angeles,Los Angeles,CA,"2,368",,11,Florida State University,Tallahassee,FL,"2,379",,11,Florida State University,Tallahassee,FL,"2,544",,11,University of Minnesota - Twin Cities,Minneapolis,MN,"2,669",,University of Maryland - College Park,College Park,MD,"1,405"
12,University of Georgia,Athens,GA,"2,079",,12,University of Maryland - College Park,College Park,MD,"2,025",,12,University of Pennsylvania,Philadelphia,PA,"2,109",,12,Florida State University,Tallahassee,FL,"2,221",,12,Florida State University,Tallahassee,FL,"2,262",,12,Florida State University,Tallahassee,FL,"2,250",,12,University of Virginia - Charlottesville,Charlottesville,VA,"2,362",,12,Michigan State University,East Lansing,MI,"2,543",,12,Michigan State University,East Lansing,MI,"2,663",,Syracuse University,Syracuse,NY,"1,348"
13,University of Florida,Gainesville,FL,"2,075",,13,Texas A&M University,College Station,TX,"2,009",,13,University of California - Los Angeles,Los Angeles,CA,"2,048",,13,University of California - Los Angeles,Los Angeles,CA,"2,196",,13,University of Georgia,Athens,GA,"2,237",,13,University of Georgia,Athens,GA,"2,248",,13,University of Georgia,Athens,GA,"2,317",,13,University of Georgia,Athens,GA,"2,495",,13,Arizona State University - Tempe,Tempe,AZ,"2,651",,University of Delaware,Newark,DE,"1,295"
14,Ohio State University - Columbus,Columbus,OH,"1,993",,14,George Washington University,Washington,D.C.,"2,002",,14,University of Washington,Seattle,WA,"2,044",,14,Boston University,Boston,MA,"2,142",,14,University of California - Los Angeles,Los Angeles,CA,"2,204",,14,University of Wisconsin - Madison,Madison,WI,"2,244",,14,University of Pennsylvania,Philadelphia,PA,"2,311",,14,University of Washington,Seattle,WA,"2,483",,14,Brigham Young University,Provo,UT,"2,560",,University of Colorado - Boulder,Boulder,CO,"1,286"
15,University of Maryland - College Park,College Park,MD,"1,975",,15,University of Florida,Gainesville,FL,"1,991",,15,University of Florida,Gainesville,FL,"2,036",,15,San Diego State University,San Diego,CA,"2,119",,15,University of Illinois - Urbana-Champaign,Champaign,IL,"2,193",,15,Arizona State University - Tempe,Tempe,AZ,"2,222",,15,University of California - Los Angeles,Los Angeles,CA,"2,302",,15,University of California - Los Angeles,Los Angeles,CA,"2,480",,15,University of Wisconsin - Madison,Madison,WI,"2,547",,University of Illinois - Urbana-Champaign,Champaign,IL,"1,276"
16,University of Michigan - Ann Arbor,Ann Arbor,MI,"1,946",,15,University of Georgia,Athens,GA,"1,991",,16,University of Illinois - Urbana-Champaign,Champaign,IL,"2,027",,16,Indiana University - Bloomington,Bloomington,IN,"2,114",,16,University of Wisconsin - Madison,Madison,WI,"2,152",,16,University of Washington,Seattle,WA,"2,213",,16,University of Wisconsin - Madison,Madison,WI,"2,276",,16,University of Virginia - Charlottesville,Charlottesville,VA,"2,434",,16,University of Southern California,Los Angeles,CA,"2,509",,University of South Carolina - Columbia,Columbia,SC,"1,253"
17,Boston University,Boston,MA,"1,928",,17,University of Illinois - Urbana-Champaign,Champaign,IL,"1,985",,17,University of Georgia,Athens,GA,"2,014",,17,University of Florida,Gainesville,FL,"2,104",,17,Northeastern University - Boston,Boston,MA,"2,149",,17,University of North Carolina - Chapel Hill,Chapel Hill,NC,"2,124",,17,University of North Carolina - Chapel Hill,Chapel Hill,NC,"2,244",,17,University of North Carolina - Chapel Hill,Chapel Hill,NC,"2,416",,17,University of California - Los Angeles,Los Angeles,CA,"2,499",,Cornell University,Ithaca,NY,"1,220"
18,University of Illinois - Urbana-Champaign,Champaign,IL,"1,907",,18,University of Washington,Seattle,WA,"1,949",,18,Florida State University,Tallahassee,FL,"1,997",,18,University of Washington,Seattle,WA,"2,063",,18,Arizona State University - Tempe,Tempe,AZ,"2,102",,18,Pennsylvania State University - University Park,University Park,PA,"2,048",,18,Pennsylvania State University - University Park,University Park,PA,"2,220",,18,University of Wisconsin - Madison,Madison,WI,"2,410",,18,University of North Carolina - Chapel Hill,Chapel Hill,NC,"2,479",,Pennsylvania State University - University Park,University Park,PA,"1,189"
19,Miami University,Oxford,OH,"1,899",,19,The Pennsylvania State University - University Park,University Park,PA,"1,926",,19,University of Maryland - College Park,College Park,MD,"1,952",,19,Miami University - Oxford,Oxford,OH,"2,016",,19,University of North Carolina - Chapel Hill,Chapel Hill,NC,"2,068",,19,University of Florida,Gainesville,FL,"2,038",,19,Purdue University - West Lafayette,West Lafayette,IN,"2,149",,19,Brigham Young University,Provo,UT,"2,403",,19,University of Florida,Gainesville,FL,"2,476",,Boston University,Boston,MA,"1,164"
20,Brigham Young University,Provo,UT,"1,883",,20,Florida State University,Tallahassee,FL,"1,919",,20,George Washington University,Washington,D.C.,"1,885",,20,Penn State University - University Park,University Park,PA,"1,971",,20,University of Washington,Seattle,WA,"2,056",,20,University of Illinois - Urbana-Champaign,Champaign,IL,"2,018",,19,Brigham Young University,Provo,UT,"2,149",,20,Pennsylvania State University - University Park,University Park,PA,"2,320",,20,University of Virginia - Charlottesville,Charlottesville,VA,"2,431",,University of Southern California,Los Angeles,CA,"1,154"
