2010/11,,,,,,2011/12,,,,,,2012/13,,,,,,2013/14,,,,,,2014/15,,,,,,2015/16,,,,,,2016/17,,,,,,2017/18,,,,,,2018/19,,,,,,2019/20,,,
Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Institutions,City,State,Total Study Abroad Students
1,New York University,New York,NY,"3,799",,1,New York University,New York,NY,"4,378",,1,New York University,New York,NY,"4,274",,1,New York University,New York,NY,"4,504",,1,New York University,New York,NY,"4,310",,1,New York University,New York,NY,"4,481",,1,New York University,New York,NY,"4,436",,1,New York University,New York,NY,"4,793",,1,New York University,New York,NY,"4,839",,New York University,New York,NY,"3,403"
2,Michigan State University,East Lansing,MI,"2,577",,2,University of Texas - Austin,Austin,TX,"2,596",,2,University of Texas - Austin,Austin,TX,"2,799",,2,University of Texas - Austin,Austin,TX,"3,021",,2,Texas A&M University - College Station,College Station,TX,"3,219",,2,Texas A&M University - College Station,College Station,TX,"3,683",,2,Texas A&M University - College Station,College Station,TX,"3,848",,2,Texas A&M University - College Station,College Station,TX,"3,976",,2,Texas A&M University - College Station,College Station,TX,"3,768",,University of Minnesota - Twin Cities,Minneapolis,MN,"2,073"
3,University of Minnesota - Twin Cities,Minneapolis,MN,"2,562",,3,University of Minnesota - Twin Cities,Minneapolis,MN,"2,508",,3,University of Southern California,Los Angeles,CA,"2,750",,3,Texas A&M University,College Station,TX,"2,911",,3,University of Texas - Austin,Austin,TX,"2,948",,3,University of Southern California,Los Angeles,CA,"3,287",,3,University of Michigan - Ann Arbor,Ann Arbor,MI,"3,214",,3,University of Texas - Austin,Austin,TX,"3,293",,3,University of Texas - Austin,Austin,TX,"3,456",,San Diego State University,San Diego,CA,"1,634"
4,University of California - Los Angeles,Los Angeles,CA,"2,451",,4,Michigan State University,East Lansing,MI,"2,380",,4,University of Minnesota - Twin Cities,Minneapolis,MN,"2,555",,4,University of Southern California,Los Angeles,CA,"2,891",,4,University of Southern California,Los Angeles,CA,"2,891",,4,University of Texas - Austin,Austin,TX,"3,019",,4,University of Texas - Austin,Austin,TX,"3,129",,4,University of Michigan - Ann Arbor,Ann Arbor,MI,"3,130",,4,University of Michigan - Ann Arbor,Ann Arbor,MI,"3,429",,University of Wisconsin - Madison,Madison,WI,"1,602"
5,University of Texas - Austin,Austin,TX,"2,350",,5,Indiana University - Bloomington,Bloomington,IN,"2,328",,5,Michigan State University,East Lansing,MI,"2,514",,5,University of Michigan - Ann Arbor,Ann Arbor,MI,"2,719",,5,University of Michigan - Ann Arbor,Ann Arbor,MI,"2,714",,5,Ohio State University - Columbus,Columbus,OH,"2,886",,5,San Diego State University,San Diego,CA,"3,039",,5,San Diego State University,San Diego,CA,"3,076",,5,Indiana University - Bloomington,Bloomington,IN,"3,244",,University of Michigan - Ann Arbor,Ann Arbor,MI,"1,547"
6,University of Southern California,Los Angeles,CA,"2,340",,6,University of Wisconsin - Madison,Madison,WI,"2,149",,6,University of Michigan - Ann Arbor,Ann Arbor,MI,"2,365",,6,University of Minnesota - Twin Cities,Minneapolis,MN,"2,634",,6,University of Minnesota - Twin Cities,Minneapolis,MN,"2,705",,6,University of Michigan - Ann Arbor,Ann Arbor,MI,"2,801",,6,Indiana University - Bloomington,Bloomington,IN,"2,839",,6,Indiana University - Bloomington,Bloomington,IN,"3,044",,6,University of Georgia,Athens,GA,"2,956",,Indiana University - Bloomington,Bloomington,IN,"1,537"
7,Indiana University - Bloomington,Bloomington,IN,"2,203",,7,University of Pennsylvania,Philadelphia,PA,"2,147",,7,Ohio State University - Columbus,Columbus,OH,"2,255",,7,Ohio State University - Columbus,Columbus,OH,"2,539",,7,Michigan State University,East Lansing,MI,"2,668",,7,Indiana University - Bloomington,Bloomington,IN,"2,720",,7,Ohio State University - Columbus,Columbus,OH,"2,712",,7,Ohio State University - Columbus,Columbus,OH,"2,941",,7,San Diego State University,San Diego,CA,"2,940",,Texas A&M University - College Station,College Station,TX,"1,504"
8,University of Pennsylvania,Philadelphia,PA,"2,198",,8,University of California - Los Angeles,Los Angeles,CA,"2,074",,8,Texas A&M University,College Station,TX,"2,254",,8,Michigan State University,East Lansing,MI,"2,478",,8,Ohio State University - Columbus,Columbus,OH,"2,603",,8,San Diego State University,San Diego,CA,"2,659",,8,Michigan State University,East Lansing,MI,"2,667",,8,University of Minnesota - Twin Cities,Minneapolis,MN,"2,585",,8,Ohio State University - Columbus,Columbus,OH,"2,829",,University of Washington,Seattle,WA,"1,467"
9,University of Wisconsin - Madison,Madison,WI,"2,159",,9,University of Southern California,Los Angeles,CA,"2,065",,9,University of Wisconsin - Madison,Madison,WI,"2,157",,9,University of Illinois - Urbana-Champaign,Champaign,IL,"2,422",,9,San Diego State University,San Diego,CA,"2,422",,9,University of Minnesota - Twin Cities,Minneapolis,MN,"2,490",,9,University of Minnesota - Twin Cities,Minneapolis,MN,"2,576",,9,Arizona State University - Tempe,Tempe,AZ,"2,567",,9,Florida State University,Tallahassee,FL,"2,723",,Elon University,Elon,NC,"1,445"
10,University of Washington,Seattle,WA,"2,152",,10,University of Michigan - Ann Arbor,Ann Arbor,MI,"2,060",,10,Indiana University - Bloomington,Bloomington,IN,"2,153",,10,University of Wisconsin - Madison,Madison,WI,"2,276",,10,Indiana University - Bloomington,Bloomington,IN,"2,395",,10,Michigan State University,East Lansing,MI,"2,391",,10,Arizona State University - Tempe,Tempe,AZ,"2,414",,10,University of Florida,Gainesville,FL,"2,561",,10,Pennsylvania State University - University Park,University Park,PA,"2,672",,University of Pennsylvania,Philadelphia,PA,"1,434"
