2010/11,,,,,2011/12,,,,,2012/13,,,,,2013/14,,,,,2014/15,,,,,2015/16,,,,,2016/17,,,,,2017/18,,,,,2018/19,,,,,2019/20,,,
Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total
12,South Africa,"4,337",1.6,,12,India,"4,593",1.6,,12,Argentina,"4,549",1.6,,12,India,"4,583",1.5,,12,Mexico,"4,712",1.5,,12,Mexico,"5,178",1.6,,12,Mexico,"5,736",1.7,,12,Mexico,"5,963",1.7,,12,Greece,"5,834",1.7,,12,Mexico,"2,999",1.8
13,Mexico,"4,167",1.5,,13,South Africa,"4,540",1.6,,13,India,"4,377",1.5,,13,Mexico,"4,445",1.5,,13,India,"4,438",1.4,,13,Denmark,"4,632",1.4,,13,Czech Republic,"4,777",1.4,,13,Czech Republic,"5,248",1.5,,13,Czechia/Czech Republic,"5,480",1.6,,13,Czech Republic,"2,667",1.6
14,Japan,"4,134",1.5,,14,Brazil,"4,060",1.4,,14,Brazil,"4,223",1.5,,14,Argentina,"4,301",1.4,,14,Czech Republic,"4,093",1.3,,14,Czech Republic,"4,610",1.4,,14,India,"4,704",1.4,,14,Greece,"5,223",1.5,,14,South Africa,"5,278",1.5,,14,China,"2,481",1.5
15,Brazil,"3,485",1.3,,15,Mexico,"3,815",1.3,,15,Mexico,"3,730",1.3,,15,Brazil,"4,226",1.4,,15,Denmark,"4,034",1.3,,15,India,"4,181",1.3,,15,Cuba,"4,607",1.4,,15,Denmark,"4,637",1.4,,15,Denmark,"4,846",1.4,,15,Netherlands,"2,202",1.4
16,Israel,"3,441",1.3,,16,Ecuador,"3,572",1.3,,16,Czech Republic,"3,552",1.2,,16,Ecuador,"3,699",1.2,,16,Brazil,"3,836",1.2,,16,Argentina,"3,846",1.2,,16,Denmark,"4,457",1.3,,16,Ecuador,"4,055",1.2,,16,South Korea,"4,558",1.3,,16,South Africa,"2,159",1.3
17,Greece,"3,428",1.3,,17,Czech Republic,"3,477",1.2,,17,Ecuador,"3,438",1.2,,17,Czech Republic,"3,572",1.2,,17,Ecuador,"3,746",1.2,,17,New Zealand,"3,806",1.2,,17,Greece,"4,351",1.3,,17,India,"3,986",1.2,,17,New Zealand,"4,233",1.2,,17,South Korea,"1,942",1.2
18,Czech Republic,"3,291",1.2,,18,Israel,"3,189",1.1,,18,Denmark,"3,302",1.1,,18,Denmark,"3,545",1.2,,18,Argentina,"3,708",1.2,,18,Cuba,"3,781",1.2,,18,Ecuador,"4,021",1.2,,18,Netherlands,"3,966",1.2,,18,Netherlands,"4,182",1.2,,18,Argentina,"1,920",1.2
19,Chile,"3,280",1.2,,19,Chile,"3,064",1.1,,19,South Korea,"3,042",1.1,,19,Peru,"3,396",1.1,,19,Greece,"3,628",1.2,,19,Ecuador,"3,751",1.2,,19,New Zealand,"3,777",1.1,,19,Peru,"3,939",1.2,,19,Peru,"4,041",1.2,,19,Israel,"1,893",1.2
20,Ecuador,"3,107",1.1,,20,New Zealand,"2,969",1.0,,20,Peru,"2,956",1.0,,20,Chile,"3,333",1.1,,20,South Korea,"3,520",1.1,,20,South Korea,"3,622",1.1,,20,South Korea,"3,770",1.1,,20,South Korea,"3,929",1.1,,20,Ecuador,"3,675",1.1,,20,Greece,"1,829",1.1
21,New Zealand,"2,900",1.1,,21,Denmark,"2,876",1.0,,21,Chile,"2,879",1.0,,21,South Korea,"3,219",1.1,,21,Peru,"3,481",1.1,,21,Greece,"3,592",1.1,,21,Peru,"3,695",1.1,,21,New Zealand,"3,885",1.1,,21,Israel,"3,532",1.0,,21,Ecuador,"1,787",1.1
22,Austria,"2,736",1.0,,22,Greece,"2,701",1.0,,22,Israel,"2,798",1.0,,22,Greece,"3,066",1.0,,22,New Zealand,"3,325",1.1,,22,Peru,"3,513",1.1,,22,Netherlands,"3,437",1.0,,22,Argentina,"3,805",1.1,,22,India,"3,366",1.0,,22,India,"1,736",1.1
23,South Korea,"2,487",0.9,,23,South Korea,"2,695",1.0,,23,New Zealand,"2,793",1.0,,23,New Zealand,"3,021",1.0,,23,Israel,"3,317",1.1,,23,Netherlands,"3,433",1.1,,23,Argentina,"3,422",1.0,,23,Israel,"3,355",1.0,,23,Argentina,"3,317",1.0,,23,Austria,"1,405",0.9
24,Denmark,"2,478",0.9,,24,Peru,"2,680",0.9,,24,Austria,"2,673",0.9,,24,Israel,"2,876",0.9,,24,Austria,"3,211",1.0,,24,Brazil,"3,400",1.0,,24,Austria,"3,308",1.0,,24,Austria,"3,161",0.9,,24,Chile,"3,190",0.9,,24,Chile,"1,332",0.8
25,Netherlands,"2,467",0.9,,25,Austria,"2,657",0.9,,25,Netherlands,"2,637",0.9,,25,Austria,"2,744",0.9,,25,Chile,"3,136",1.0,,25,Austria,"3,216",1.0,,25,Chile,"3,073",0.9,,25,Chile,"3,020",0.9,,25,Austria,"3,039",0.9,,25,Thailand,"1,228",0.8
